study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB6070	ERP005534	SAMEA2448331	ERS433375	ERX441298	ERR475467	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	101177	50790854	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:166-1	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:166-1	11114498;14235265	9b87c90c5873f48dab4f3c9d03748af9;536481e9c011b95d93d772272f2fbab0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	10851620;13957670	6e3785fa0932bbe276be63da5030b111;16df7df750ee6c149311c8e9b31190ac	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475467/CCIS63888116ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475467/CCIS63888116ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.2.fq.gz	FASTQ;FASTQ	31389759	5a385c913cf212f48c04e2bf587a8a86	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475467	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475467	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475467				CCIS63888116ST		Human stool sample from host FR-026	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448332	ERS433376	ERX441299	ERR475468	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	229626	115272252	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:166-2	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:167-2	28452526;34606893	1252a80b36560f2d86ec52ad0260626c;e87b4fe26ee5435f25654d6b7162cdd1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	27953828;33955642	4d30eba0f9934201d550008900677e9e;1fe50d696d659a3170832f4be219f005	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475468/CCIS55535410ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475468/CCIS55535410ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.2.fq.gz	FASTQ;FASTQ	71979394	8b390ecd1c4c5174d528640fd21aca68	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475468	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475468	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475468				CCIS55535410ST		Human stool sample from host FR-027	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448333	ERS433377	ERX441300	ERR475469	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	117396	58932792	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:167-3	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:167-3	14063657;17068233	e899dd426258288b37eb41fa7cf7c289;91b761b9be97647c485f216a0dfc72cd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	13815717;16745333	0c2037351c11fe98e74ef9130bb94852;73117262dbbde12cfa21785374ce0bc9	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475469/CCIS10150843ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475469/CCIS10150843ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.2.fq.gz	FASTQ;FASTQ	36145110	33d8da05f3afb4d311bfed9449efdfd6	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475469	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475469	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475469				CCIS10150843ST		Human stool sample from host FR-030	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448334	ERS433378	ERX441301	ERR475470	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	105952	53187904	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:167-4	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:167-4	13176384;15770649	e256040db32407f5654435f9c5532e85;3f6a26b9bd6dd863f0bd0572d03d9a7a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	12950097;15479613	1b8f9a112c2add1d43766df72f957aa1;f1200f50dc258fa7ade18aa161a2cf45	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475470/CCIS52674325ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475470/CCIS52674325ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.2.fq.gz	FASTQ;FASTQ	32907455	30767b498d6f891eb62b8cf2c2523e32	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475470	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475470	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475470				CCIS52674325ST		Human stool sample from host FR-039	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448335	ERS433379	ERX441302	ERR475471	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	103705	52059910	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:167-5	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:167-5	12825268;15273173	e8cf803569b36a8264deed6ec218af8b;f4a757bcc016ce52c7c65e6da0f013b7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	12592143;14981262	c73c50cc7b5ea4397fb2a4b3f9ffcab3;12614a3588a13731ed2baab3262a5328	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475471/CCIS54258614ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475471/CCIS54258614ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.2.fq.gz	FASTQ;FASTQ	32139336	97dd1322f672cf1e09dc9a892176e9a2	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475471	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475471	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475471				CCIS54258614ST		Human stool sample from host FR-040	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448336	ERS433380	ERX441303	ERR475472	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	110455	55448410	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:167-6	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:168-6	12614441;15783127	11f99aaba3dde3ea3b96dd52aa9fd6ff;c789fec9b64e317093597e0baae1f0c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475472/ERR475472_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475472/ERR475472_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_2.fastq.gz	12372755;15480856	903ef8f8108c639add6b3b81a927e4b0;11814dbae3075a8f07b62a474f1e6ea0	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475472/CCIS63525104ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475472/CCIS63525104ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.2.fq.gz	FASTQ;FASTQ	33829915	f6be9ca85d45fa6cc7acace0b81a7762	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475472	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475472	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475472				CCIS63525104ST		Human stool sample from host FR-051	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448337	ERS433381	ERX441304	ERR475473	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	96288	48336576	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:168-7	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:168-7	11476383;14115383	015d23a5738d72b7dd04580a3499afc5;d9116bfb0d9d380efbbd9681fd87f0ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	11291444;13861086	66a45124f5520ff9dd6ad8d61029e175;71780991d1f5504ef8cebbfd278abc0a	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475473/CCIS41316911ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475473/CCIS41316911ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.2.fq.gz	FASTQ;FASTQ	30109233	58290c6d914da89d9451c9884f1512a6	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475473	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475473	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475473				CCIS41316911ST		Human stool sample from host FR-052	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448338	ERS433382	ERX441305	ERR475474	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	120882	60682764	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:168-8	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:168-8	14487357;17078461	246b39acb836c59b197b6897dd2a4d3e;101b893ff54fecc36dc68effe2940c57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475474/ERR475474_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475474/ERR475474_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_2.fastq.gz	14234396;16759305	ede7427a6a144a9c70da7c460233b5ae;e27633837e63e2a6e23f4b5d17bd97cf	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475474/CCIS11359688ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475474/CCIS11359688ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.2.fq.gz	FASTQ;FASTQ	37263601	94382c163f43c7835751c92acbeb74b5	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475474	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475474	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475474				CCIS11359688ST		Human stool sample from host FR-053	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448339	ERS433383	ERX441306	ERR475475	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	120111	60295722	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:168-9	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:168-9	14265675;17128588	b387f238a74806af45153d3186dcc4f9;e58a80f0f75ec63ab2896f9edb510263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	14027055;16801101	257c81f7ebe11e342ffe95a49a0a427c;653d826a7fcad18c681b10fae99238b5	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475475/CCIS72691826ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475475/CCIS72691826ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.2.fq.gz	FASTQ;FASTQ	36904242	a8d98e4c2aa779da83dd309c77f5ce3a	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475475	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475475	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475475				CCIS72691826ST		Human stool sample from host FR-054	0	2014-04-10
PRJEB6070	ERP005534	SAMEA2448340	ERS433384	ERX441307	ERR475476	ERA300562	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	254	PAIRED	AMPLICON	METAGENOMIC	PCR	216451	108658402	EMBL - Germany	2014-11-01	2018-11-16	Illumina MiSeq paired end sequencing	Potential of fecal microbiota for early stage detection of colorectal cancer	ena-STUDY-EMBL - Germany-08-04-2014-15:10:10:040-207	ena-EXPERIMENT-EMBL - Germany-10-04-2014-12:09:17:168-10	ena-RUN-EMBL - Germany-10-04-2014-12:09:17:169-10	24719083;31007672	44ae249e7b203ebc0c6dab48b8ee9112;9f7fee918be7caf87a73e9b9e63f3524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475476/ERR475476_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475476/ERR475476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_2.fastq.gz	24263373;30449244	7f8f19857b93822bad2773ba2c6193ac;84a8fc53b92cbb21e6e510829e60992f	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475476/CCIS52699533ST.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR475/ERR475476/CCIS52699533ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.2.fq.gz	FASTQ;FASTQ	67058114	5360984edf36502933325cf141942176	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475476	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475476	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475476				CCIS52699533ST		Human stool sample from host FR-060	0	2014-04-10
